sample_name,fazenda,date,planta,tratamento,parcela,ramo,no,s1,s2,s3,s4,s5,s6,flor,star,chumb,fruto,rv
fvicente_p3_t5_parc11_rDir_n2,vicente,2025-11-14,3,t5,11,Dir,2,0,0,0,0,0,0,0,0,49,0,0
fvicente_p1_t5_parc11_rDir_n3,vicente,2025-11-14,1,t5,11,Dir,3,0,0,0,0,0,0,0,0,56,0,0
fvicente_p2_t5_parc11_rDir_n3,vicente,2025-11-14,2,t5,11,Dir,3,0,0,0,0,0,0,0,0,63,0,0
fvicente_p3_t5_parc11_rDir_n3,vicente,2025-11-14,3,t5,11,Dir,3,0,0,0,0,0,0,0,0,49,0,0
fvicente_p1_t5_parc11_rEsq_n1,vicente,2025-11-14,1,t5,11,Esq,1,0,0,0,0,0,0,0,0,50,0,0
fvicente_p2_t5_parc11_rEsq_n1,vicente,2025-11-14,2,t5,11,Esq,1,0,0,0,0,0,0,0,0,45,0,0
fvicente_p3_t5_parc11_rEsq_n1,vicente,2025-11-14,3,t5,11,Esq,1,0,0,0,0,0,0,0,0,40,0,0
fvicente_p1_t5_parc11_rEsq_n2,vicente,2025-11-14,1,t5,11,Esq,2,0,0,0,0,0,0,0,0,40,0,0
fvicente_p2_t5_parc11_rEsq_n2,vicente,2025-11-14,2,t5,11,Esq,2,0,0,0,0,0,0,0,0,13,0,0
fvicente_p3_t5_parc11_rEsq_n2,vicente,2025-11-14,3,t5,11,Esq,2,0,0,0,0,0,0,0,0,35,0,0
fvicente_p1_t5_parc11_rEsq_n3,vicente,2025-11-14,1,t5,11,Esq,3,0,0,0,0,0,0,0,0,34,0,0
fvicente_p2_t5_parc11_rEsq_n3,vicente,2025-11-14,2,t5,11,Esq,3,0,0,0,0,0,0,0,0,27,0,0
fvicente_p3_t5_parc11_rEsq_n3,vicente,2025-11-14,3,t5,11,Esq,3,0,0,0,0,0,0,0,0,30,0,0
fvicente_p1_t6_parc12_rDir_n1,vicente,2025-11-14,1,t6,12,Dir,1,0,0,0,0,0,0,0,0,49,0,0
